Rank,title,AuthorName,Language,Price_normal,Id
3486,Hvor svært kan det være?,Ann-Elisabeth Knudsen,Dansk,49.95,9788702237818
3487,Sæt strøm til demokratiet,Silas Harrebye,Dansk,79.95,9788702261431
3488,Vandringer med et æsel i Cevennerne,Robert Louis Stevenson,Dansk,79.95,9788702265415
3489,Ryst dig fri,David Berceli,Dansk,79.95,9788702296907
3490,Yngre med årene,Bente Klarlund Pedersen,Dansk,129.95,9788702300154
3491,Dage som græs,Jens Christian Grøndahl,Dansk,79.95,9788702305821
3492,Klara og solen,Kazuo Ishiguro,Dansk,79.95,9788702308921
3493,Nye balancer,Caspar Eric,Dansk,79.95,9788702392081
3494,Banan,Mette Vedsø,Dansk,79.95,9788702394481
3495,Ta' mig,Joan Ørting,Dansk,99.95,9788711436912
3496,Dobbelt forræderi,Nick Carter,Dansk,69.95,9788711524220
3497,Antiinflammatorisk kost,Elizabeth Nebelong,Dansk,99.95,9788711981788
3498,En hæderlig mand,David Baldacci,Dansk,149.95,9788711995198
3499,Farligt øjenvidne,David Baldacci,Dansk,99.95,9788711995211
3500,Overvågningens historie,Andreas Marklund,Dansk,209.95,9788712065029
3501,"505 sprogøvelser - i dansk stavning, komma og grammatik",Kirsten Rask,Dansk,49.95,9788726655834
3502,Humanistisk videnskabsteori,Finn Collin,Dansk,249.95,9788727018072
3503,Augustin-studier. Bind 15. Kirkesyn og -brevkasse,Helge Haystrup,Dansk,79.95,9788728426623
3504,Tab 12 kilo på 12 uger,Henrik Duer,Dansk,79.95,9788740023787
3505,Jussi,Jonas Langvad Nilsson,Dansk,159.95,9788740028676
3506,Da Super Carla blev hormonforstyrret,Dorthe Oxgren,Dansk,99.95,9788740401363
3507,Romerriget,Hans Svendsen,Dansk,10.0,9788740412451
3508,"JEG SAVNER OS - En guide til nærhed, fortrolighed og kærlighed",Holger Spanggaard,Dansk,189.95,9788740485530
3509,Bibelen,Anonym Anonym,Dansk,50.0,9788740496635
3510,Adolph Sell,John P. A. Jensen,Dansk,119.95,9788743004271
3511,Kostplan 1200 kcal,Simone Bay,Dansk,129.95,9788743028710
3512,Kærlighed i teorien,Ali Hazelwood,Dansk,149.95,9788743406341
3513,Black out,Kenneth Bøgh Andersen,Dansk,49.95,9788763845915
3514,Lady Sophias elsker,Lisa Kleypas,Dansk,129.95,9788763864626
3515,En pikant handel,Lisa Kleypas,Dansk,129.95,9788763864640
3516,Damevennens død,Torben Munksgaard,Dansk,159.95,9788770077545
3517,Et mørke iblandt os,Mari Jungstedt,Dansk,74.95,9788770364744
3518,Isfolket 28 - Is og ild,Margit Sandemo,Dansk,129.95,9788771071634
3519,Isfolket 29 - Lucifers kærlighed,Margit Sandemo,Dansk,129.95,9788771071641
3520,Prædikanten,Camilla Läckberg,Dansk,69.95,9788771081305
3521,Olivias hemmelighed,Muna Shehadi,Dansk,159.95,9788771164848
3522,Psyken,Svend Brinkmann,Dansk,129.95,9788771246759
3523,Smertefri fødsel,Anja Bay,Dansk,149.95,9788771374018
3524,Styrk dit barns sprog 3-6 år,Lis Klausen,Dansk,79.95,9788771604504
3525,Syv myter om demokrati,Jørgen Møller,Dansk,129.95,9788772198699
3526,Min datter var gnisten,Souha Al-Mersal,Dansk,179.95,9788773398463
3527,Bogen,Bjarne Reuter,Dansk,129.95,9788775237180
3528,Marskens mysterier,Joy Ellis,Dansk,159.95,9788775622061
3529,"Excel Pivottabeller, VBA og Makroer",Jens Koldbæk,Dansk,139.95,9788778538857
